ukuran_tim,durasi_rencana_hari,anggaran_juta,kompleksitas,pengalaman_tim_tahun,perubahan_requirement,keterlibatan_klien,risiko_teknologi,jumlah_stakeholder,turnover_tim_persen,ketersediaan_sumber_daya,metodologi,probabilitas_risiko_sintetis,estimasi_keterlambatan_hari,terlambat
14,227,592.0,3,3.6,2,2,3,3,11.1,1,Waterfall,0.948,20,1
34,54,1508.4,3,9.5,1,5,1,11,10.9,5,Waterfall,0.004,0,0
20,167,730.4,1,7.1,3,2,5,16,9.6,1,Waterfall,0.117,14,1
33,76,628.6,3,5.5,6,2,5,4,13.4,3,Hybrid,0.757,40,1
39,346,498.4,4,7.3,5,3,3,20,17.1,1,Waterfall,0.873,48,1
15,132,401.0,2,5.8,5,1,4,14,24.9,5,Hybrid,0.435,15,1
10,104,674.6,5,1.8,5,3,4,19,10.4,4,Waterfall,0.962,32,1
39,215,696.8,4,6.4,6,1,2,10,8.9,2,Hybrid,0.556,19,1
27,172,573.2,4,7.9,3,5,4,4,7.8,4,Hybrid,0.136,0,0
14,62,1799.6,1,8.2,3,3,5,5,23.8,5,Waterfall,0.078,0,0
26,304,418.1,4,1.4,6,2,5,11,17.5,2,Waterfall,0.999,68,1
22,314,371.2,2,2.5,5,3,4,13,0.0,4,Hybrid,0.833,21,1
37,279,501.8,4,2.2,4,1,2,15,0.0,2,Waterfall,0.989,62,1
12,237,582.0,5,2.9,5,2,5,17,5.4,4,Waterfall,0.952,32,1
40,165,390.9,2,5.1,2,1,5,16,13.8,3,Hybrid,0.748,21,1
38,212,667.0,2,4.2,2,4,1,13,11.7,4,Hybrid,0.403,1,1
9,205,701.1,1,4.2,4,5,2,2,16.1,4,Agile,0.005,0,0
9,85,818.4,4,1.1,6,3,3,12,10.6,4,Hybrid,0.716,0,0
23,57,463.4,4,2.4,1,1,3,17,23.2,1,Agile,0.965,32,1
4,115,1064.8,3,8.6,4,1,4,18,18.2,5,Agile,0.06,0,0
14,182,792.7,1,7.9,0,5,3,17,12.6,1,Waterfall,0.018,0,0
19,83,414.0,2,3.5,2,2,1,2,21.2,2,Agile,0.177,1,1
39,65,390.0,3,6.4,3,2,1,10,0.0,3,Agile,0.185,0,0
40,316,518.3,5,4.8,4,1,4,13,11.3,5,Agile,0.948,34,1
8,155,702.0,1,6.9,4,4,4,6,13.1,4,Hybrid,0.081,0,0
36,226,750.1,2,6.6,5,1,4,9,16.8,1,Agile,0.601,13,1
6,206,792.0,4,3.7,4,5,3,3,0.0,2,Agile,0.401,2,1
31,277,1461.9,2,5.6,3,2,2,5,9.9,1,Agile,0.177,0,0
35,278,219.7,5,5.0,4,1,2,2,15.2,3,Waterfall,0.969,51,1
36,129,236.2,5,3.8,1,4,4,20,15.8,4,Waterfall,0.754,55,1
11,314,565.8,2,3.2,3,2,3,18,21.5,4,Hybrid,0.89,22,1
36,154,1403.4,4,11.0,3,4,1,9,18.1,4,Agile,0.007,0,0
7,310,836.0,4,3.8,0,1,2,2,11.5,4,Agile,0.011,0,0
22,166,360.0,4,6.1,6,5,5,8,17.4,5,Agile,0.801,10,1
20,67,651.2,1,10.5,5,2,3,10,10.4,5,Hybrid,0.012,0,0
15,285,549.8,1,5.6,2,4,5,5,13.2,2,Agile,0.067,0,0
3,40,540.5,2,5.4,1,5,3,14,18.4,2,Waterfall,0.045,0,0
32,289,459.1,1,3.8,4,3,3,20,11.6,1,Agile,0.726,7,1
15,44,626.5,2,5.1,4,2,5,18,14.9,2,Agile,0.218,0,0
28,99,972.5,4,3.0,5,2,3,18,19.7,3,Waterfall,0.86,18,1
18,232,479.1,3,18.0,4,4,1,17,17.7,4,Agile,0.0,0,0
17,346,794.8,2,1.1,4,1,3,3,21.9,5,Waterfall,0.733,38,1
36,167,859.7,1,3.4,2,1,4,12,30.6,3,Waterfall,0.592,28,1
6,70,1060.7,2,5.6,4,4,2,12,17.6,5,Hybrid,0.093,0,0
30,108,386.8,3,5.4,1,1,3,3,8.3,3,Hybrid,0.505,31,1
31,331,603.2,4,3.0,8,2,5,4,16.1,5,Agile,0.957,35,1
17,274,433.8,2,0.8,5,4,3,12,15.8,5,Waterfall,0.887,7,1
12,63,627.1,2,1.3,3,2,2,15,16.9,3,Hybrid,0.505,19,1
3,159,625.1,3,4.4,6,5,1,5,24.0,5,Agile,0.019,0,0
38,118,340.8,1,0.5,3,5,3,11,0.0,5,Hybrid,0.83,3,1
39,89,644.5,2,5.9,6,1,4,3,24.1,2,Waterfall,0.932,36,1
12,314,1497.0,1,8.4,4,1,2,4,26.8,2,Waterfall,0.379,0,0
4,237,751.4,3,6.6,3,5,3,13,16.5,1,Agile,0.176,0,0
7,90,307.0,3,7.5,6,1,4,12,16.7,5,Hybrid,0.374,0,0
5,248,375.1,3,0.6,5,3,5,16,10.1,3,Waterfall,0.775,0,0
34,168,588.8,4,3.1,2,5,5,19,12.1,3,Waterfall,0.668,15,1
36,50,379.4,2,1.6,8,3,2,5,17.6,2,Agile,0.929,46,1
8,181,1034.1,5,0.9,4,2,1,8,17.1,2,Hybrid,0.823,25,1
31,92,289.0,5,2.6,0,1,4,18,17.8,3,Agile,0.891,53,1
9,112,753.9,1,10.3,2,2,2,2,17.0,3,Hybrid,0.0,0,0
16,325,259.2,5,12.2,4,3,2,17,19.2,1,Agile,0.18,0,0
25,268,584.4,1,1.8,6,1,1,19,18.3,4,Hybrid,0.535,16,1
30,75,352.8,2,4.0,1,3,4,3,3.8,2,Agile,0.163,0,0
36,316,817.6,3,5.1,7,3,1,4,18.7,2,Waterfall,0.865,24,1
4,222,953.6,1,3.1,7,2,2,15,26.9,1,Agile,0.322,0,0
10,323,701.0,2,8.8,5,5,3,11,11.8,1,Agile,0.016,1,1
13,281,974.0,1,2.7,5,5,1,20,24.0,2,Agile,0.198,0,0
14,144,160.8,3,2.3,1,4,4,12,4.7,4,Waterfall,0.858,30,1
40,209,640.7,5,1.9,5,3,4,14,11.8,5,Agile,0.884,29,1
32,208,748.9,5,3.1,0,3,3,6,6.9,5,Hybrid,0.797,20,1
15,271,793.9,2,0.2,2,1,1,8,23.0,2,Agile,0.263,0,0
39,113,221.9,3,3.2,5,2,1,5,25.1,4,Hybrid,0.502,21,1
21,141,728.5,3,4.2,6,1,1,4,11.2,2,Agile,0.161,0,0
22,112,802.0,3,4.4,3,2,4,4,21.4,1,Waterfall,0.373,0,0
19,129,637.3,4,1.6,4,3,4,18,25.2,3,Waterfall,0.972,59,1
8,84,308.5,5,4.3,4,4,4,3,11.7,4,Agile,0.292,0,0
38,42,457.5,3,4.3,1,2,5,11,13.0,4,Waterfall,0.441,0,0
3,345,1036.6,1,4.3,4,2,2,11,17.9,1,Agile,0.261,0,0
9,54,982.3,5,6.7,1,4,1,3,5.3,4,Agile,0.027,0,0
11,328,742.5,5,1.5,3,1,2,17,12.9,2,Agile,0.969,30,1
13,31,825.6,2,3.2,3,1,4,11,29.1,2,Hybrid,0.844,34,1
8,291,928.7,3,0.7,3,4,4,4,8.0,1,Hybrid,0.506,0,0
3,140,738.5,5,6.3,5,3,3,4,18.8,2,Agile,0.405,0,0
28,203,1022.8,3,1.7,7,5,1,15,16.2,3,Waterfall,0.82,0,0
39,124,1007.0,3,7.4,2,4,4,13,10.7,1,Waterfall,0.222,18,1
7,194,1719.2,5,7.6,1,5,5,9,13.8,2,Agile,0.086,0,0
14,181,466.8,5,3.4,6,4,2,9,26.0,3,Agile,0.505,0,0
22,207,470.9,3,3.3,5,5,5,2,16.4,1,Agile,0.609,0,0
38,162,126.9,1,1.0,4,1,4,2,17.7,5,Agile,0.881,46,1
29,210,713.1,3,3.9,3,3,5,12,24.8,2,Agile,0.928,17,1
32,307,1364.2,4,6.7,3,5,4,8,9.7,4,Waterfall,0.401,0,0
25,176,1060.4,2,4.7,5,4,1,6,3.6,4,Waterfall,0.174,0,0
18,151,873.2,3,9.5,4,3,4,9,26.1,4,Agile,0.042,0,0
10,74,1094.3,4,2.9,3,5,1,13,13.1,2,Hybrid,0.244,9,1
35,150,755.2,1,2.9,8,2,2,7,19.1,1,Agile,0.38,0,0
33,72,521.3,3,1.8,2,1,5,8,5.9,1,Agile,0.821,16,1
3,91,1523.8,4,13.7,4,4,5,7,15.1,2,Agile,0.004,0,0
30,349,729.5,2,1.0,0,3,3,14,3.2,3,Agile,0.559,0,0
6,60,996.8,3,6.3,6,1,2,3,12.5,4,Waterfall,0.476,19,1
31,191,160.2,4,6.8,5,2,2,19,6.8,4,Waterfall,0.883,18,1
34,310,177.1,1,6.6,1,1,2,12,5.0,5,Waterfall,0.459,6,1
7,350,650.1,4,2.0,5,5,3,6,9.6,5,Waterfall,0.678,17,1
19,79,379.4,2,3.4,2,5,3,16,0.0,2,Waterfall,0.202,36,1
7,84,678.3,2,5.7,5,5,1,19,2.7,3,Agile,0.024,0,0
24,155,470.6,4,2.3,5,1,4,3,18.3,5,Waterfall,0.906,46,1
38,216,1839.3,1,3.0,6,5,4,5,14.8,4,Waterfall,0.564,0,0
6,352,959.9,1,2.4,4,3,4,4,3.4,3,Waterfall,0.325,0,0
18,99,1143.8,3,4.1,3,2,5,3,16.4,5,Waterfall,0.432,0,0
39,85,195.7,5,3.9,5,4,4,16,5.0,1,Waterfall,0.99,40,1
14,115,867.7,1,10.6,6,5,4,5,17.8,4,Waterfall,0.007,0,0
8,323,550.9,4,5.8,5,3,2,9,11.1,5,Waterfall,0.651,9,1
21,40,1154.1,1,1.3,6,1,3,17,9.4,3,Hybrid,0.485,34,1
22,157,809.2,3,1.4,3,5,3,13,11.3,4,Waterfall,0.635,10,1
28,69,589.4,3,6.4,5,1,5,14,32.5,1,Waterfall,0.938,43,1
14,82,325.0,3,3.9,4,1,3,3,5.9,4,Agile,0.672,0,0
39,338,644.2,1,13.2,4,4,4,20,13.8,2,Waterfall,0.013,0,0
22,30,1025.6,4,13.1,6,4,3,3,18.3,5,Agile,0.001,0,0
13,138,1185.4,2,1.8,6,4,1,15,4.3,2,Agile,0.468,0,0
39,337,504.9,4,4.8,6,5,5,14,0.0,2,Hybrid,0.854,36,1
38,234,1694.9,4,1.4,5,5,4,9,7.2,2,Hybrid,0.816,15,1
21,54,988.2,3,6.3,5,1,2,17,18.1,4,Agile,0.109,0,0
3,186,383.3,2,11.6,8,2,1,18,9.3,5,Waterfall,0.098,0,0
25,356,340.6,4,4.3,4,4,5,3,10.2,2,Agile,0.831,0,0
24,164,567.7,5,2.8,5,2,2,20,19.3,2,Waterfall,0.982,56,1
8,207,504.3,5,5.2,4,4,1,6,5.5,4,Agile,0.057,0,0
27,208,758.0,5,7.3,2,3,4,17,11.3,3,Waterfall,0.723,25,1
34,251,612.3,2,7.3,2,3,1,17,0.0,3,Agile,0.016,0,0
7,92,525.1,3,2.8,7,1,2,12,14.6,5,Waterfall,0.671,26,1
30,312,266.8,2,2.3,9,4,5,18,13.8,3,Agile,0.861,48,1
8,362,820.8,5,4.6,4,5,1,17,18.4,4,Waterfall,0.417,10,1
31,77,255.2,5,3.0,5,5,4,11,2.8,5,Agile,0.889,22,1
18,304,989.8,5,8.8,4,2,4,5,10.5,2,Agile,0.318,5,1
3,304,207.2,1,2.9,8,4,2,10,1.8,5,Agile,0.206,0,0
39,279,247.7,2,4.1,4,1,2,19,10.0,5,Waterfall,0.832,37,1
9,154,382.4,4,5.1,3,4,3,5,23.9,3,Waterfall,0.595,24,1
25,187,482.6,4,1.1,8,3,3,20,9.4,2,Hybrid,0.988,51,1
9,311,434.9,2,2.5,5,5,5,5,1.1,1,Agile,0.648,9,1
38,81,481.6,1,12.8,4,4,2,14,6.6,1,Agile,0.003,0,0
31,308,684.8,1,7.1,6,1,3,14,0.0,5,Agile,0.14,0,0
33,339,386.9,4,2.9,3,5,4,5,1.6,3,Agile,0.228,0,0
19,259,687.8,3,6.4,7,4,1,10,17.4,4,Agile,0.208,0,0
20,144,161.3,3,8.7,4,2,5,4,0.4,2,Waterfall,0.323,0,0
27,217,379.7,5,3.3,3,2,5,8,14.5,2,Agile,0.982,45,1
32,46,241.6,1,6.8,3,1,1,20,12.2,5,Agile,0.008,0,0
35,343,984.4,4,6.2,6,2,2,3,7.7,4,Waterfall,0.882,1,1
3,145,412.6,2,1.4,5,5,4,18,13.8,2,Agile,0.224,0,0
28,49,796.7,5,3.3,1,5,5,14,4.5,1,Waterfall,0.613,38,1
7,296,219.9,5,10.8,6,3,1,16,18.7,5,Waterfall,0.304,0,0
13,250,1176.1,3,12.5,4,2,5,7,6.4,1,Hybrid,0.097,0,0
34,239,629.5,2,7.1,3,2,2,20,8.9,1,Hybrid,0.32,0,0
12,48,1454.2,2,2.4,3,5,2,6,8.0,2,Waterfall,0.397,1,1
33,282,595.2,1,0.4,4,1,2,11,17.5,5,Agile,0.465,0,0
20,244,268.4,5,2.1,3,4,4,2,16.4,4,Waterfall,0.892,36,1
11,296,356.3,1,1.2,3,5,2,18,0.0,1,Agile,0.305,7,1
15,307,533.2,3,11.3,5,5,3,15,14.0,5,Agile,0.008,0,0
23,101,363.2,3,0.7,2,4,1,5,0.0,5,Agile,0.04,0,0
32,100,938.4,4,1.4,3,5,1,14,9.3,4,Agile,0.284,1,1
26,340,620.4,5,4.5,4,2,4,5,11.1,1,Agile,0.881,44,1
38,208,365.5,3,3.9,5,5,2,10,9.2,1,Hybrid,0.895,19,1
35,177,870.5,4,10.4,3,1,4,11,16.0,5,Waterfall,0.074,1,1
31,126,498.9,3,5.9,7,1,4,19,17.8,5,Waterfall,0.819,41,1
25,244,851.8,3,3.5,4,1,5,8,5.8,5,Agile,0.82,25,1
14,283,460.2,1,8.9,2,4,1,2,5.5,3,Agile,0.005,0,0
18,30,770.5,2,2.8,3,2,5,10,11.7,3,Waterfall,0.783,10,1
7,215,490.3,3,11.0,4,4,5,19,0.0,1,Agile,0.106,0,0
17,363,938.5,1,1.9,4,1,3,17,8.2,1,Agile,0.752,18,1
38,124,222.4,2,3.8,8,4,1,3,22.8,2,Agile,0.927,30,1
19,124,311.8,3,0.5,6,2,1,3,0.0,4,Hybrid,0.847,34,1
7,325,556.8,3,7.3,1,3,3,16,9.3,3,Agile,0.026,0,0
27,50,421.8,5,4.4,1,1,1,15,7.3,4,Agile,0.612,0,0
39,163,482.9,5,11.0,3,5,1,12,28.0,3,Agile,0.028,0,0
35,183,812.9,4,3.2,2,2,3,3,7.7,3,Waterfall,0.75,15,1
13,298,477.9,1,1.0,11,4,3,7,8.2,5,Agile,0.762,29,1
20,73,699.6,3,5.4,5,3,5,18,3.8,4,Hybrid,0.304,0,0
23,175,378.3,4,2.5,7,3,5,4,12.1,5,Hybrid,0.9,36,1
12,81,198.5,3,6.6,4,3,2,5,14.2,5,Hybrid,0.247,0,0
13,294,849.2,3,1.9,10,1,2,10,4.9,4,Agile,0.753,12,1
11,242,1304.1,3,9.7,10,5,1,15,19.9,5,Agile,0.058,0,0
40,196,664.8,3,4.1,4,4,2,17,14.2,2,Waterfall,0.546,0,0
31,162,571.7,3,3.5,8,2,3,13,18.8,3,Hybrid,0.846,52,1
34,81,631.3,1,9.3,3,1,5,11,9.4,1,Agile,0.5,1,1
34,339,1098.2,3,7.4,3,5,5,9,13.9,1,Waterfall,0.121,0,0
39,247,668.7,2,2.2,3,2,5,2,10.3,1,Hybrid,0.902,31,1
7,137,869.0,4,7.3,6,5,3,7,23.7,1,Agile,0.535,0,0
36,169,850.6,5,6.3,7,4,4,6,12.9,3,Hybrid,0.76,23,1
5,273,976.5,3,3.6,6,5,4,3,12.1,4,Agile,0.467,0,0
21,271,565.7,2,6.9,8,4,2,16,8.3,5,Hybrid,0.314,1,1
25,184,457.1,5,9.7,6,1,3,8,7.9,5,Agile,0.283,0,0
16,131,774.6,4,3.7,1,1,3,11,13.9,1,Agile,0.57,12,1
8,251,943.6,3,3.7,7,2,2,5,18.6,3,Agile,0.084,0,0
10,251,1029.1,1,3.6,8,3,3,13,6.5,3,Waterfall,0.494,0,0
34,231,1163.1,1,2.1,6,4,3,4,13.0,1,Waterfall,0.747,2,1
15,54,903.1,2,3.7,5,5,1,14,13.5,1,Hybrid,0.256,0,0
14,188,444.7,2,3.4,3,1,4,16,14.9,2,Hybrid,0.982,21,1
38,236,664.5,4,3.2,3,4,5,7,0.0,5,Hybrid,0.736,0,0
8,349,636.3,3,3.2,6,1,4,6,4.6,2,Waterfall,0.961,17,1
37,206,603.2,5,1.4,4,3,5,16,1.1,2,Waterfall,0.997,61,1
37,145,775.4,3,7.9,5,1,3,6,12.3,5,Hybrid,0.371,0,0
25,216,540.5,5,2.5,8,2,1,5,4.8,2,Waterfall,0.97,46,1
9,89,540.8,3,10.1,2,4,2,8,8.0,4,Agile,0.004,0,0
8,60,1342.6,2,1.7,3,4,5,20,2.4,5,Waterfall,0.384,0,0
13,257,580.1,4,11.6,4,5,1,10,8.8,1,Hybrid,0.044,0,0
24,361,973.1,3,3.0,5,3,3,6,3.0,3,Agile,0.424,0,0
8,314,1000.1,2,7.3,3,2,1,11,18.1,2,Waterfall,0.175,0,0
20,226,673.3,3,4.3,4,5,2,8,15.8,1,Agile,0.122,0,0
7,43,551.3,4,1.3,4,5,1,14,13.2,1,Waterfall,0.793,0,0
23,361,386.1,2,1.3,4,5,1,10,9.6,4,Agile,0.696,15,1
3,181,253.3,4,2.3,3,4,1,13,0.0,4,Agile,0.287,0,0
29,127,802.0,5,2.8,7,4,3,10,8.3,3,Agile,0.969,29,1
5,329,725.6,3,3.8,2,1,4,11,5.9,4,Agile,0.371,1,1
10,280,858.6,2,5.0,2,3,2,10,14.0,4,Waterfall,0.093,0,0
9,281,471.6,3,3.4,1,3,5,9,17.0,1,Waterfall,0.859,32,1
34,123,1408.5,5,4.8,2,2,2,20,14.6,1,Hybrid,0.623,18,1
5,363,756.4,1,5.4,3,1,4,7,22.1,2,Agile,0.032,0,0
19,182,569.5,5,3.3,4,2,3,17,7.5,3,Agile,0.929,28,1
25,208,192.2,3,6.2,5,5,4,15,7.1,5,Agile,0.766,28,1
22,282,497.9,5,7.2,7,5,5,12,20.3,5,Hybrid,0.788,8,1
28,251,878.1,4,5.5,6,4,5,8,13.3,5,Agile,0.569,22,1
33,87,1148.6,4,5.7,3,1,3,11,10.0,2,Waterfall,0.616,0,0
17,131,613.3,5,4.5,4,4,5,18,26.8,3,Agile,0.931,43,1
34,151,1238.6,1,8.4,4,1,4,5,16.6,1,Agile,0.106,0,0
15,348,371.5,3,3.9,0,4,2,13,10.5,3,Agile,0.224,0,0
40,270,736.1,1,2.3,2,1,5,16,6.5,1,Hybrid,0.643,45,1
22,153,746.1,2,4.0,3,2,1,14,22.6,5,Agile,0.063,0,0
30,276,805.0,1,1.3,2,1,3,4,13.7,3,Hybrid,0.682,25,1
36,278,654.2,4,1.1,5,5,1,11,12.2,4,Agile,0.822,34,1
33,162,716.9,4,7.2,1,3,4,5,17.4,1,Agile,0.502,0,0
35,165,367.0,4,10.2,3,5,5,19,19.0,5,Agile,0.023,0,0
23,330,1095.8,1,3.0,3,1,5,8,16.4,3,Agile,0.165,0,0
4,218,927.5,2,7.3,2,4,1,10,19.1,1,Waterfall,0.079,0,0
21,80,703.5,4,0.6,4,3,2,18,15.6,2,Agile,0.74,22,1
9,271,937.9,5,5.5,5,3,2,10,16.4,2,Waterfall,0.841,0,0
36,228,1112.6,5,3.9,4,5,1,5,6.1,1,Waterfall,0.258,9,1
11,201,799.5,1,11.3,5,1,3,18,26.5,1,Hybrid,0.074,0,0
11,273,1482.2,3,3.5,4,5,1,14,2.1,4,Waterfall,0.145,0,0
12,334,831.3,1,1.6,2,1,4,13,14.5,5,Hybrid,0.563,1,1
27,141,395.9,5,1.0,3,2,3,3,1.3,4,Agile,0.687,20,1
24,170,686.6,1,4.0,4,1,3,10,11.2,4,Agile,0.036,0,0
39,93,955.4,5,4.5,3,3,5,10,7.4,1,Hybrid,0.905,29,1
18,247,1113.1,1,3.3,3,3,4,6,13.1,1,Agile,0.373,0,0
13,165,660.9,1,7.4,1,4,2,12,14.7,1,Hybrid,0.057,0,0
4,145,380.4,5,9.5,2,4,3,6,4.3,5,Waterfall,0.045,0,0
3,264,545.5,3,3.0,2,4,5,10,11.8,4,Agile,0.494,10,1
17,167,299.5,3,0.7,4,5,5,17,23.1,5,Agile,0.886,36,1
38,186,872.1,4,4.9,6,3,4,15,1.5,5,Agile,0.823,1,1
22,177,494.9,2,8.5,12,1,1,7,5.2,2,Agile,0.4,0,0
36,116,427.1,4,3.0,2,1,3,5,18.9,3,Agile,0.435,33,1
6,72,912.8,3,5.7,4,2,5,2,12.6,4,Waterfall,0.331,9,1
6,307,1226.6,2,1.5,2,4,1,8,13.2,4,Waterfall,0.192,0,0
34,60,426.2,2,4.8,0,1,3,2,20.2,4,Hybrid,0.398,0,0
7,139,663.0,1,5.8,4,5,3,4,5.6,3,Agile,0.003,0,0
4,254,556.6,2,4.9,4,5,2,20,7.8,1,Agile,0.092,0,0
18,74,1137.8,3,13.3,6,1,2,18,6.9,5,Agile,0.017,0,0
38,250,587.9,1,10.1,1,4,5,12,9.2,4,Hybrid,0.022,0,0
29,276,362.6,1,6.5,4,3,3,16,22.7,5,Hybrid,0.183,0,0
6,252,601.5,4,8.0,4,3,5,11,0.0,2,Waterfall,0.867,0,0
34,132,1024.8,3,4.7,3,4,3,13,2.4,1,Hybrid,0.171,22,1
35,36,540.8,1,3.8,1,3,5,19,1.1,5,Waterfall,0.627,0,0
33,328,448.5,4,2.8,2,2,4,3,23.2,5,Agile,0.893,13,1
37,139,575.1,4,1.5,3,3,5,8,7.1,5,Hybrid,0.862,34,1
12,300,368.4,1,10.4,6,1,2,4,9.4,3,Waterfall,0.092,0,0
40,96,556.3,2,13.6,5,2,2,17,0.0,5,Waterfall,0.018,0,0
15,84,465.3,2,4.0,2,5,1,17,9.9,2,Agile,0.083,0,0
33,291,1613.2,4,4.1,5,1,2,15,18.9,4,Hybrid,0.587,25,1
25,345,215.1,1,6.0,4,3,1,13,14.0,3,Waterfall,0.256,1,1
32,319,395.1,5,3.5,3,2,1,11,11.1,1,Agile,0.815,0,0
26,282,448.3,2,1.7,7,3,2,2,0.0,4,Agile,0.506,2,1
27,112,369.7,1,1.2,4,2,5,16,9.4,2,Agile,0.84,38,1
26,336,739.6,5,13.3,5,3,2,18,13.2,1,Agile,0.011,0,0
32,254,422.4,1,0.8,1,3,5,20,4.1,4,Agile,0.669,21,1
31,87,283.2,1,5.0,9,4,5,8,17.2,4,Agile,0.485,0,0
8,73,634.8,5,1.0,2,2,5,5,19.1,2,Agile,0.607,37,1
34,322,525.7,3,3.6,3,3,3,14,7.8,5,Hybrid,0.504,0,0
23,122,432.3,3,3.0,2,4,5,2,17.8,4,Hybrid,0.49,15,1
15,287,1124.1,4,1.1,5,4,3,3,11.1,1,Waterfall,0.964,45,1
22,76,751.5,4,6.1,4,3,4,17,21.2,2,Agile,0.388,0,0
39,124,711.8,4,1.6,1,2,5,20,28.3,5,Agile,0.937,33,1
35,125,759.4,1,1.0,2,3,1,9,3.3,1,Waterfall,0.806,8,1
34,124,741.0,3,6.6,5,3,1,11,18.2,5,Agile,0.05,0,0
20,256,538.8,2,3.0,1,5,1,12,22.4,3,Agile,0.095,1,1
32,337,424.6,5,2.1,1,2,4,4,4.2,4,Waterfall,0.987,31,1
17,335,641.6,3,6.9,1,2,3,6,7.4,4,Agile,0.084,0,0
29,279,534.0,1,1.5,6,4,2,7,7.3,3,Agile,0.555,9,1
27,98,213.6,5,0.7,5,4,4,17,10.9,3,Agile,0.958,62,1
12,352,353.6,2,9.0,1,3,1,10,9.1,3,Hybrid,0.049,0,0
13,212,501.5,2,12.1,1,1,1,15,10.4,4,Waterfall,0.01,0,0
5,213,922.2,5,3.6,7,4,3,5,18.7,4,Agile,0.144,0,0
8,265,642.9,4,3.5,5,4,5,20,0.0,3,Agile,0.634,0,0
19,288,387.7,5,7.1,1,5,4,18,4.2,3,Agile,0.083,0,0
21,350,338.4,4,8.4,3,3,4,11,17.4,4,Agile,0.274,0,0
9,225,1015.9,5,1.7,6,3,4,6,16.4,4,Waterfall,0.821,34,1
18,234,550.9,1,3.1,3,2,2,20,3.5,4,Waterfall,0.518,0,0
25,280,119.5,3,4.7,5,3,3,17,16.5,3,Agile,0.779,0,0
11,115,568.1,2,6.9,4,1,5,11,22.6,3,Waterfall,0.223,0,0
15,133,828.9,2,6.4,2,3,4,7,11.6,3,Hybrid,0.05,0,0
16,240,333.2,2,5.7,1,4,3,13,3.9,3,Agile,0.14,0,0
22,51,619.6,2,8.4,5,4,1,9,19.0,1,Waterfall,0.253,0,0
16,137,647.8,3,3.8,2,4,4,14,25.8,3,Agile,0.169,0,0
31,271,343.3,5,10.5,3,5,2,17,4.9,3,Hybrid,0.043,0,0
15,357,1059.9,4,2.5,4,4,2,11,12.3,1,Waterfall,0.964,15,1
19,204,653.2,2,6.4,6,4,4,2,20.7,5,Agile,0.086,0,0
17,164,500.2,3,2.8,4,3,2,12,12.9,4,Waterfall,0.697,22,1
9,177,552.7,3,3.6,7,4,3,18,0.0,1,Hybrid,0.634,0,0
29,260,310.9,2,4.0,2,4,1,6,15.5,2,Agile,0.242,0,0
11,212,304.4,3,2.7,7,3,1,20,4.2,3,Agile,0.937,10,1
14,37,477.6,4,8.7,3,3,3,8,1.8,5,Agile,0.042,0,0
33,211,492.2,2,2.9,5,4,5,14,0.0,3,Agile,0.866,0,0
39,164,535.2,3,3.9,5,2,4,15,21.5,5,Agile,0.773,0,0
28,265,1104.6,4,5.9,4,2,3,5,5.3,1,Waterfall,0.425,4,1
37,324,807.8,3,17.1,4,3,5,2,14.7,3,Waterfall,0.007,0,0
35,353,231.3,2,6.1,2,4,2,20,16.6,5,Waterfall,0.121,0,0
21,235,1005.0,3,4.2,3,3,5,15,13.3,5,Agile,0.308,0,0
32,151,475.8,4,0.6,3,1,3,13,14.4,2,Hybrid,0.994,63,1
15,179,844.7,2,3.5,2,5,1,7,15.0,4,Waterfall,0.07,0,0
20,89,494.5,3,2.3,4,3,1,4,13.1,1,Hybrid,0.614,24,1
23,344,633.4,4,3.1,4,3,5,7,5.9,1,Hybrid,0.871,43,1
39,314,322.7,2,2.8,5,5,4,12,5.2,5,Waterfall,0.818,16,1
35,316,700.8,2,5.9,4,3,1,15,11.2,4,Waterfall,0.095,0,0
21,140,890.4,5,3.5,7,1,5,8,11.0,2,Agile,0.873,56,1
27,138,254.0,2,1.9,4,5,1,6,15.4,5,Waterfall,0.661,0,0
10,317,896.9,3,7.4,5,2,2,6,20.8,5,Agile,0.04,0,0
33,212,423.8,1,1.4,4,5,4,20,14.8,1,Agile,0.73,45,1
24,266,1272.6,5,4.0,4,3,1,13,5.5,1,Agile,0.446,6,1
23,194,852.1,3,3.6,7,2,5,20,0.0,2,Agile,0.932,16,1
32,178,782.8,4,5.1,3,2,4,2,5.8,4,Waterfall,0.668,18,1
27,242,554.3,4,8.5,4,5,5,10,1.2,3,Hybrid,0.143,11,1
5,303,1756.9,2,18.8,7,5,5,10,6.2,3,Agile,0.0,0,0
13,142,477.2,2,4.1,4,1,5,9,13.9,3,Waterfall,0.775,18,1
9,301,357.7,4,2.3,6,5,2,9,12.7,3,Agile,0.747,13,1
30,112,431.1,5,2.1,4,5,2,3,26.9,4,Waterfall,0.855,35,1
4,165,966.5,1,2.1,2,4,2,2,15.9,1,Hybrid,0.142,0,0
10,336,627.6,5,5.0,3,1,1,16,27.3,3,Agile,0.657,12,1
25,350,583.9,5,0.5,4,3,4,10,17.7,2,Hybrid,0.985,57,1
29,340,480.7,1,1.3,5,3,1,5,20.7,4,Hybrid,0.407,6,1
22,136,569.4,1,5.0,1,1,3,8,9.1,1,Agile,0.362,0,0
35,313,464.6,4,7.6,2,5,3,19,3.4,1,Agile,0.176,0,0
